registration_no,book_no,book_label,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,year,has_scan,has_pdf,source
910020500668,1,SALE,ANGUL,ATHAMALLIK,SALE IMMOVABLE,19-Sep-2005,19-Sep-2005,23000,668,2005,True,True,render_gcs_ingest
910010800382,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,25-Feb-2008,29-Jan-2008,31500,382,2008,True,True,render_gcs_ingest
910010501071,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,12000,,2005,True,True,render_gcs_ingest
910620400590,1,SALE,GANJAM,UNKNOWN,SALE IMMOVABLE,,,0,,2004,True,True,render_gcs_ingest
911070800174,1,SALE,KEONJHAR,TELKOI,SALE IMMOVABLE,24-Feb-2008,24-Feb-2008,3000,174,2008,True,True,render_gcs_ingest
910010702694,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,,,2007,True,True,render_gcs_ingest
940939500021,4,MISC,KENDRAPARA,KENDRAPARA,SALE IMMOVABLE,29-Apr-1995,28-Apr-1995,0,21,1995,True,True,render_gcs_ingest
910020000024,1,SALE,ANGUL,ATHAMALLIK,SALE IMMOVABLE,12-Jan-2000,12-Jan-2000,0,24,2000,True,True,render_gcs_ingest
910010701590,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,,,2007,True,True,render_gcs_ingest
910100302112,1,SALE,BALASORE,JALESWARPUR,SALE IMMOVABLE,29-Jun-2003,29-Jun-2003,160000,2112,2003,True,True,render_gcs_ingest
910010902402,1,SALE,ANGUL,UNKNOWN,SALE IMMOVABLE,,,,,2009,True,True,render_gcs_ingest
910010901616,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,03-Jun-2009,06-Apr-2009,15400,1616,2009,True,True,render_gcs_ingest
910010301142,1,SALE,UNKNOWN,ANGUL,SALE IMMOVABLE,,29-Apr-2003,24000,1142,2003,True,True,render_gcs_ingest
910010704397,1,SALE,UNKNOWN,ANGUL,SALE IMMOVABLE,08-Nov-2007,25-Sep-2007,12000,4397,2007,True,True,render_gcs_ingest
911090201191,1,SALE,KHURDA,BALIPATNA,SALE IMMOVABLE,15-Aug-2002,15-Aug-2002,4125,1191,2002,True,True,render_gcs_ingest
910010403078,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,,06-Oct-2004,,3078,2004,True,True,render_gcs_ingest
910019802244,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,02-Dec-1998,09-Nov-1998,3125,2244,1998,True,True,render_gcs_ingest
910990400039,1,SALE,KENDRAPARA,KANIKA,SALE IMMOVABLE,01-Feb-2004,01-Feb-2004,3000,39,2004,True,True,render_gcs_ingest
910020800540,1,SALE,ANGUL,ATHAMALLIK,SALE IMMOVABLE,22-Mar-2008,22-Mar-2008,81000,540,2008,True,True,render_gcs_ingest
940930200026,4,MISC,UNKNOWN,UNKNOWN,SALE IMMOVABLE,17-Jun-2002,12-Jun-2002,0,26,2002,True,True,render_gcs_ingest
910010504194,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,29-Dec-2005,,0,4194,2005,True,True,render_gcs_ingest
910200900771,1,SALE,BARGARH,BHATLI,SALE IMMOVABLE,10-Mar-2009,10-Mar-2009,33500,771,2009,True,True,render_gcs_ingest
911730500356,1,SALE,UNKNOWN,UNKNOWN,LEASE WITH ADVANCE ONLY(IMMOVABLE),,15-Jun-2005,,,2005,True,True,render_gcs_ingest
910010903011,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,01-Sep-2009,30-Jun-2009,11000,3011,2009,True,True,render_gcs_ingest
910080700048,1,SALE,UNKNOWN,BASTA,SALE IMMOVABLE,06-Jan-2007,,41105,48,2007,True,True,render_gcs_ingest
910010802174,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,44200,2174,2008,True,True,render_gcs_ingest
910010301307,1,SALE,ANGUL,ANGUL,RECONVEYANCE OF MORTGAGE,30-May-2003,22-May-2003,0,1307,2003,True,True,render_gcs_ingest
910069804222,1,SALE,BALASORE,BALASORE,SALE IMMOVABLE,22-Sep-1998,22-Sep-1998,6000,4222,1998,True,True,render_gcs_ingest
910010500580,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,,,2005,True,True,render_gcs_ingest
910010503632,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,04-Dec-2005,04-Oct-2005,168000,3632,2005,True,True,render_gcs_ingest
910350500651,1,SALE,BOLANGIR,TUSURA,SALE IMMOVABLE,30-Jan-2005,30-Jan-2005,36500,651,2005,True,True,render_gcs_ingest
911580500769,1,SALE,RAYAGADA,RAYAGADA,SALE IMMOVABLE,09-Apr-2005,,14100,769,2005,True,True,render_gcs_ingest
930880800009,3,WILL,KALAHANDI,BHAWANIPATNA,OPEN WILL,,,,,,True,True,render_gcs_ingest
930640800033,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,13-Jun-2008,13-Jun-2008,,33,2008,True,True,render_gcs_ingest
930860500102,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,,2005,True,True,render_gcs_ingest
931260600102,3,WILL,MAYURBHANJ,MAYURBHANJ,OPEN WILL,05-Dec-2006,05-Dec-2006,,102,2006,True,True,render_gcs_ingest
931200500035,3,WILL,KORAPUT,KOTPAD,OPEN WILL,13-May-2005,13-May-2005,,35,2005,True,True,render_gcs_ingest
930579700007,3,WILL,GANJAM,CHHATRAPUR,OPEN WILL,,20-Feb-1997,,7,1997,True,True,render_gcs_ingest
930500400021,3,WILL,DHENKANAL,DHENKANAL,OPEN WILL,30-Apr-2004,30-Apr-2004,,21,2004,True,False,render_gcs_ingest
930610500120,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,12-Aug-2005,,,120,2005,True,True,render_gcs_ingest
