registration_no,book_no,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,deed_volume_no,listed_on
910310402353,1,BALANGIR,BALANGIR,SALE IMMOVABLE,11-Oct-2004,11-Oct-2004,100000,2353,119,11-Oct-2004
910680402284,1,GANJAM,PURUSOTTAMPUR,SALE IMMOVABLE,01-Oct-2004,01-Oct-2004,6400,2284,2249,01-Oct-2004
911170102989,1,KORAPUT,JAYAPUR,SALE IMMOVABLE,27-Nov-2001,27-Nov-2001,40000,2989,2025,27-Nov-2001
910790601197,1,JAJPUR,BARACHANA,SALE IMMOVABLE,16-Sep-2006,16-Sep-2006,137500,1197,50,16-Sep-2006
910590103620,1,GANJAM,BHANJANAGAR,SALE IMMOVABLE,06-Nov-2001,06-Nov-2001,19400,3620,2600,06-Nov-2001
911130000243,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,21-Jan-2000,21-Jan-2000,61100,243,11,21-Jan-2000
911540100254,1,PURI,SATYABADI,SALE IMMOVABLE,26-Mar-2001,26-Mar-2001,10000,254,11,26-Mar-2001
910390402567,1,KATAKA,KATAKA,SALE IMMOVABLE,24-May-2004,24-May-2004,0,2567,165,24-May-2004
910780202068,1,JAJPUR,JAJPUR,SALE IMMOVABLE,11-Dec-2002,11-Dec-2002,1500,2068,72,11-Dec-2002
910750101010,1,JAGATSINGHPUR,KUJANGA,SALE IMMOVABLE,10-Apr-2001,10-Apr-2001,17500,1010,30,10-Apr-2001
910370301501,1,BOUDH,BOUDH,SALE IMMOVABLE,26-Dec-2003,26-Dec-2003,8000,1501,70,26-Dec-2003
911020101992,1,KENDUJHAR,SAINKUL,SALE IMMOVABLE,16-Nov-2001,16-Nov-2001,6500,1992,36,16-Nov-2001
910570200378,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,15-Feb-2002,15-Feb-2002,29100,378,2357,15-Feb-2002
910550000457,1,GAJAPATI,PARALAKHEMUNDI,SALE IMMOVABLE,06-Mar-2000,06-Mar-2000,5400,457,8,06-Mar-2000
911560000682,1,PURI,KANAS,SALE IMMOVABLE,15-Sep-2000,15-Sep-2000,4800,682,21,15-Sep-2000
910780101933,1,JAJPUR,JAJPUR,SALE IMMOVABLE,06-Nov-2001,06-Nov-2001,10000,1933,56,06-Nov-2001
910960602462,1,KENDRAPADA,MARSAGHAI,SALE IMMOVABLE,15-Dec-2006,15-Dec-2006,20000,2462,143,15-Dec-2006
910980401270,1,KENDRAPADA,RAJNAGAR,LEASE WITH ADVANCE ONLY(IMMOVABLE),20-Nov-2004,20-Nov-2004,9999,1270,37,20-Nov-2004
910360001042,1,BALANGIR,LUISINGA,SALE IMMOVABLE,17-Oct-2000,17-Oct-2000,7000,1042,34,17-Oct-2000
911150300801,1,KHORDHA,TANGI,SALE IMMOVABLE,01-Nov-2003,01-Nov-2003,47400,801,41,01-Nov-2003
911620002392,1,SAMBALPUR,SAMBALPUR,SALE IMMOVABLE,01-Dec-2000,01-Dec-2000,63300,2392,825,01-Dec-2000
910270101568,1,BHADRAK,CHANDBALI,MORTGAGE WITHOUT POSSESION,30-May-2001,30-May-2001,323000,1568,42,30-May-2001
911570200159,1,PURI,KRUSHNAPRASAD,SALE IMMOVABLE,01-Aug-2002,01-Aug-2002,54100,159,3,01-Aug-2002
910790301216,1,JAJPUR,BARACHANA,SALE IMMOVABLE,12-Sep-2003,12-Sep-2003,6200,1216,37,12-Sep-2003
911480103161,1,PURI,PURI,SALE IMMOVABLE,27-Jun-2001,27-Jun-2001,10000,3161,94,27-Jun-2001
911370603690,1,NAYAGADA,NAYAGADA,SALE IMMOVABLE,01-Nov-2006,01-Nov-2006,9000,3690,171,01-Nov-2006
911580201315,1,RAYAGADA,RAYAGADA,SALE IMMOVABLE,21-Nov-2002,21-Nov-2002,16000,1315,39,21-Nov-2002
910690101147,1,GANJAM,SORADA,SALE IMMOVABLE,28-Aug-2001,28-Aug-2001,8100,1147,821,28-Aug-2001
911150400743,1,KHORDHA,TANGI,SALE IMMOVABLE,23-Jul-2004,23-Jul-2004,118875,743,37,23-Jul-2004
910760300929,1,JAGATSINGHPUR,RAGHUNATHPUR,SALE IMMOVABLE,19-Jul-2003,19-Jul-2003,4050,929,46,19-Jul-2003
911500201227,1,PURI,GOP,SALE IMMOVABLE,22-Oct-2002,22-Oct-2002,7500,1227,37,22-Oct-2002
910390200473,1,KATAKA,KATAKA,SALE IMMOVABLE,30-Jan-2002,30-Jan-2002,22000,473,20,30-Jan-2002
911580001587,1,RAYAGADA,RAYAGADA,SALE IMMOVABLE,17-Oct-2000,17-Oct-2000,22500,1587,0,17-Oct-2000
910630303611,1,GANJAM,DIGAPAHANDI,SALE IMMOVABLE,21-Nov-2003,21-Nov-2003,24800,3611,2314,21-Nov-2003
911520500802,1,PURI,NIMAPADA,SALE IMMOVABLE,04-May-2005,04-May-2005,12000,802,39,04-May-2005
910070600986,1,BALESHWAR,BALIAPAL,GIFT IMMOVABLE,24-May-2006,24-May-2006,3700,986,52,24-May-2006
911580501637,1,RAYAGADA,RAYAGADA,SALE IMMOVABLE,21-Oct-2005,21-Oct-2005,12000,1637,43,21-Oct-2005
911000300573,1,KENDUJHAR,KENDUJHAR,SALE IMMOVABLE,26-Mar-2003,26-Mar-2003,30000,573,35,26-Mar-2003
910340000864,1,BALANGIR,KANTABANJHI,SALE IMMOVABLE,08-Aug-2000,08-Aug-2000,10000,864,26,08-Aug-2000
910810200540,1,JAJPUR,DHARMASHALA,SALE IMMOVABLE,26-Mar-2002,26-Mar-2002,2400,540,14,26-Mar-2002
910580001593,1,GANJAM,ASIKA,SALE IMMOVABLE,20-May-2000,20-May-2000,6000,1593,2143,20-May-2000
911530001451,1,PURI,PIPILI,SALE IMMOVABLE,28-Aug-2000,28-Aug-2000,5100,1451,38,28-Aug-2000
911510402068,1,PURI,KAKATPUR,SALE IMMOVABLE,28-Dec-2004,28-Dec-2004,15014,2068,105,28-Dec-2004
911120201803,1,KHORDHA,JATANI,SALE IMMOVABLE,29-Jul-2002,29-Jul-2002,935,1803,62,29-Jul-2002
911530500205,1,PURI,PIPILI,SALE IMMOVABLE,29-Jan-2005,29-Jan-2005,14826,205,12,29-Jan-2005
910550600316,1,GAJAPATI,PARALAKHEMUNDI,SALE IMMOVABLE,15-Feb-2006,15-Feb-2006,706150,316,15,15-Feb-2006
910640600605,1,GANJAM,HINJILIKATU,SALE IMMOVABLE,25-Mar-2006,25-Mar-2006,10278,605,2132,25-Mar-2006
911260600037,1,MAYURBHANJ,MAYURBHANJ,SALE IMMOVABLE,04-Jan-2006,04-Jan-2006,169680,37,3,04-Jan-2006
911480302296,1,PURI,PURI,SALE IMMOVABLE,28-May-2003,28-May-2003,23300,2296,96,28-May-2003
910100502837,1,BALESHWAR,JALESWARPUR,SALE IMMOVABLE,26-Sep-2005,26-Sep-2005,18550,2837,152,26-Sep-2005
911500600719,1,PURI,GOP,SALE IMMOVABLE,03-Jun-2006,03-Jun-2006,20000,719,30,03-Jun-2006
911380200604,1,NAYAGADA,DASHAPALLA,SALE IMMOVABLE,24-Jun-2002,24-Jun-2002,6400,604,19,24-Jun-2002
910810102753,1,JAJPUR,DHARMASHALA,SALE IMMOVABLE,27-Nov-2001,27-Nov-2001,12000,2753,67,27-Nov-2001
910440000725,1,KATAKA,MAHANGA,SALE IMMOVABLE,09-Jun-2000,09-Jun-2000,6500,725,20,09-Jun-2000
911130503362,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,01-Jun-2005,01-Jun-2005,162000,3362,217,01-Jun-2005
911000202076,1,KENDUJHAR,KENDUJHAR,SALE IMMOVABLE,16-Dec-2002,16-Dec-2002,15000,2076,77,16-Dec-2002
910610204807,1,GANJAM,BRAHMAPUR-I,RECONVEYANCE OF MORTGAGE,06-Nov-2002,06-Nov-2002,30000,4807,168,06-Nov-2002
910930502270,1,KENDRAPADA,KENDRAPADA,SALE IMMOVABLE,01-Aug-2005,01-Aug-2005,15000,2270,67,01-Aug-2005
910750202087,1,JAGATSINGHPUR,KUJANGA,SALE IMMOVABLE,29-Jul-2002,29-Jul-2002,4000,2087,61,29-Jul-2002
910780500369,1,JAJPUR,JAJPUR,SALE IMMOVABLE,23-Feb-2005,23-Feb-2005,4000,369,12,23-Feb-2005
910060405061,1,BALESHWAR,BALESHWAR,SALE IMMOVABLE,01-Jan-2004,01-Jan-2004,40000,5061,294,01-Jan-2004
911520000527,1,PURI,NIMAPADA,SALE IMMOVABLE,15-Apr-2000,15-Apr-2000,2500,527,16,15-Apr-2000
911480201759,1,PURI,PURI,SALE IMMOVABLE,27-Apr-2002,27-Apr-2002,4000,1759,58,27-Apr-2002
910880500251,1,KALAHANDI,BHABANIPATANA,SALE IMMOVABLE,08-Feb-2005,08-Feb-2005,11260,251,1072,08-Feb-2005
910890201305,1,KALAHANDI,DHARMAGADA,SALE IMMOVABLE,24-Jun-2002,24-Jun-2002,68800,1305,469,24-Jun-2002
911800100077,1,KORAPUT,MACHHAKUND,SALE IMMOVABLE,20-Apr-2001,20-Apr-2001,8000,77,22,20-Apr-2001
910060001693,1,BALESHWAR,BALESHWAR,SALE IMMOVABLE,10-Apr-2000,10-Apr-2000,22500,1693,62,10-Apr-2000
910400100657,1,KATAKA,ATHAGADA,SALE IMMOVABLE,16-Mar-2001,16-Mar-2001,8150,657,19,16-Mar-2001
910820101680,1,JAJPUR,DOLIPUR,SALE IMMOVABLE,04-Jun-2001,04-Jun-2001,9800,1680,42,04-Jun-2001
910940100780,1,KENDRAPADA,AALI,SALE IMMOVABLE,29-Jun-2001,29-Jun-2001,29600,780,16,29-Jun-2001
910840200349,1,JAJPUR,SUKINDA,SALE IMMOVABLE,01-May-2002,01-May-2002,20300,349,2,01-May-2002
910800400458,1,JAJPUR,BARI,SALE IMMOVABLE,14-May-2004,14-May-2004,0,458,24,14-May-2004
910240200211,1,BHADRAK,BASUDEVPUR,SALE IMMOVABLE,28-Jan-2002,28-Jan-2002,10700,211,7,28-Jan-2002
911370300498,1,NAYAGADA,NAYAGADA,SALE IMMOVABLE,14-Feb-2003,14-Feb-2003,20000,498,24,14-Feb-2003
